,Id,Player,School,Games,MPG,PPG,APG,ORPG,DRPG,RPG,SPG,BPG,TPG,CPG,FG%,2P%,3P%,FT%,TS%,Points,Asists,ORB,DRB,TRB,Coolness,SOS
0,1,Levi Randolph,alabama,31.0,29.7096774194,7.35483870968,1.70967741935,1.64516129032,2.45161290323,4.09677419355,1.16129032258,0.161290322581,1.22580645161,0.645161290323,0.405,0.464566929134,0.301369863014,0.709677419355,0.501583949314,228,53,51,76,127,20,0.525103279946
1,2,Trevor Lacey,alabama,31.0,31.8064516129,11.8709677419,3.16129032258,0.225806451613,3.77419354839,4.0,1.54838709677,0.451612903226,2.16129032258,1.41935483871,0.404605263158,0.426751592357,0.380952380952,0.709677419355,0.533457033515,368,98,7,117,124,44,0.525103279946
2,3,Rodney Cooper,alabama,30.0,28.8,10.6666666667,1.0,2.0,2.73333333333,4.73333333333,0.666666666667,0.1,1.56666666667,1.06666666667,0.407894736842,0.478494623656,0.296610169492,0.606557377049,0.48361745859,320,30,60,82,142,32,0.522176615084
3,4,Devonta Pollard,alabama,31.0,18.1290322581,4.16129032258,0.645161290323,1.09677419355,1.87096774194,2.96774193548,0.774193548387,0.645161290323,1.09677419355,0.290322580645,0.379032258065,0.416666666667,0.125,0.611111111111,0.436518678939,129,20,34,58,92,9,0.525103279946
4,5,Moussa Gueye,alabama,30.0,15.4666666667,1.43333333333,0.1,1.26666666667,2.66666666667,3.93333333333,0.266666666667,1.53333333333,1.13333333333,0.933333333333,0.380952380952,0.380952380952,,0.458333333333,0.409056316591,43,3,38,80,118,28,0.542606722611
5,6,Andrew Steele,alabama,21.0,19.0,3.80952380952,1.57142857143,0.333333333333,1.71428571429,2.04761904762,1.04761904762,0.047619047619,1.47619047619,0.285714285714,0.355263157895,0.4375,0.214285714286,0.666666666667,0.448430493274,80,33,7,36,43,6,0.539320033724
6,7,Trevor Releford,alabama,29.0,33.1724137931,15.5862068966,2.65517241379,0.655172413793,1.8275862069,2.48275862069,2.10344827586,0.0689655172414,1.8275862069,2.31034482759,0.49,0.517587939698,0.435643564356,0.820143884892,0.625761435375,452,77,19,53,72,67,0.54763543051
7,8,Carl Engstrom,alabama,7.0,12.5714285714,3.28571428571,0.142857142857,0.857142857143,1.85714285714,2.71428571429,0.428571428571,1.0,0.714285714286,0.571428571429,0.692307692308,0.692307692308,,0.833333333333,0.735294117647,23,1,6,13,19,4,0.452908986175
8,9,Nick Jacobs,alabama,31.0,20.7419354839,7.48387096774,0.0322580645161,1.45161290323,2.22580645161,3.67741935484,0.709677419355,1.09677419355,1.06451612903,1.35483870968,0.51832460733,0.51832460733,,0.576271186441,0.534660766962,232,1,45,69,114,42,0.525103279946
9,10,Nate Wolters,south-dakota-state,30.0,37.8666666667,22.6666666667,5.63333333333,1.16666666667,4.43333333333,5.6,1.73333333333,0.133333333333,2.26666666667,4.13333333333,0.494529540481,0.540716612378,0.4,0.8,0.618856934838,680,169,35,133,168,124,0.389925920776
10,11,Jordan Dykstra,south-dakota-state,32.0,32.03125,12.40625,1.46875,2.03125,5.84375,7.875,0.5625,0.59375,2.0,2.5625,0.442006269592,0.449494949495,0.429752066116,0.759036144578,0.558337083708,397,47,65,187,252,82,0.38571684105
11,12,Tony Fiegen,south-dakota-state,32.0,31.375,9.90625,1.46875,2.0625,3.5625,5.625,0.46875,0.21875,1.28125,1.28125,0.547619047619,0.547619047619,,0.640625,0.565748143918,317,47,66,114,180,41,0.38571684105
12,13,Chad White,south-dakota-state,26.0,31.3846153846,9.92307692308,1.26923076923,0.923076923077,2.96153846154,3.88461538462,0.615384615385,0.461538461538,1.42307692308,1.03846153846,0.451776649746,0.507936507937,0.425373134328,0.69696969697,0.609871406959,258,33,24,77,101,27,0.425518649639
13,14,Brayden Carlson,south-dakota-state,32.0,34.25,8.75,2.5,0.34375,3.375,3.71875,0.84375,0.34375,1.09375,0.84375,0.38961038961,0.46,0.335877862595,0.767123287671,0.532076619033,280,80,11,108,119,27,0.38571684105
14,15,Taevaunn Prince,south-dakota-state,25.0,14.08,4.36,0.56,0.92,1.2,2.12,0.32,0.0,0.84,0.04,0.366666666667,0.41095890411,0.176470588235,0.677966101695,0.469989651604,109,14,23,30,53,1,0.336710697071
15,16,Marcus Heemstra,south-dakota-state,32.0,12.09375,4.25,0.84375,1.1875,1.625,2.8125,0.3125,0.46875,0.75,0.28125,0.567010309278,0.567010309278,,0.787878787879,0.609756097561,136,27,38,52,90,9,0.38571684105
16,17,Brandon Ellis,alabama-am,28.0,28.5,10.7142857143,0.75,1.14285714286,2.14285714286,3.28571428571,1.0,0.321428571429,2.17857142857,1.35714285714,0.393382352941,0.458598726115,0.304347826087,0.698630136986,0.493226358017,300,21,32,60,92,38,0.397529900686
17,18,Demarquelle Tabb,alabama-am,29.0,32.1034482759,13.9310344828,1.31034482759,2.96551724138,6.55172413793,9.51724137931,1.24137931034,1.41379310345,1.96551724138,3.89655172414,0.470404984424,0.474842767296,0.0,0.610778443114,0.512066517948,404,38,86,190,276,113,0.398282484756
18,19,Jeremy Crutcher,alabama-am,28.0,34.8214285714,11.7857142857,4.85714285714,0.535714285714,2.35714285714,2.89285714286,0.964285714286,0.0,2.85714285714,1.32142857143,0.392857142857,0.401129943503,0.378640776699,0.572580645161,0.49318507891,330,136,15,66,81,37,0.397529900686
19,20,Justan Banks,alabama-am,29.0,19.9655172414,5.89655172414,0.275862068966,1.96551724138,3.41379310345,5.37931034483,0.137931034483,0.896551724138,1.24137931034,1.24137931034,0.634782608696,0.634782608696,,0.714285714286,0.655674846626,171,8,57,99,156,36,0.398282484756
20,21,Nicholas West,alabama-am,25.0,7.96,2.8,0.12,0.52,0.8,1.32,0.16,0.24,0.52,0.12,0.30985915493,0.260869565217,0.333333333333,0.769230769231,0.456204379562,70,3,13,20,33,3,0.406595464905
21,22,Arther Capers,alabama-am,10.0,12.2,3.0,0.3,0.5,1.4,1.9,0.4,0.0,0.8,0.0,0.325,0.428571428571,0.0833333333333,0.428571428571,0.348189415042,30,3,5,14,19,0,0.399893602602
22,23,Tyler Davis,alabama-am,27.0,13.8888888889,2.74074074074,0.740740740741,0.333333333333,0.777777777778,1.11111111111,0.333333333333,0.0,0.851851851852,0.037037037037,0.324675324675,0.392857142857,0.285714285714,0.666666666667,0.442583732057,74,20,9,21,30,1,0.381548331894
23,24,Jose Long,alabama-am,28.0,19.4285714286,2.96428571429,1.17857142857,1.03571428571,2.57142857143,3.60714285714,0.5,0.178571428571,0.714285714286,0.285714285714,0.287128712871,0.34375,0.189189189189,0.514285714286,0.356529209622,83,33,29,72,101,8,0.392417573497
24,25,Green Hill,alabama-am,29.0,26.2413793103,7.20689655172,2.06896551724,0.862068965517,1.51724137931,2.37931034483,1.20689655172,0.0,2.06896551724,0.51724137931,0.375,0.386206896552,0.322580645161,0.779069767442,0.488683127572,209,60,25,44,69,15,0.398282484756
25,26,Justin Colvin,alabama-am,22.0,8.45454545455,2.40909090909,0.409090909091,0.0909090909091,0.409090909091,0.5,0.0909090909091,0.0,0.863636363636,0.0909090909091,0.285714285714,0.25,0.314285714286,0.6,0.393175074184,53,9,2,9,11,2,0.398712805644
26,27,Baryn Houston,alabama-am,14.0,6.28571428571,1.71428571429,0.142857142857,0.642857142857,0.857142857143,1.5,0.0,0.0714285714286,0.428571428571,0.0714285714286,0.27027027027,0.428571428571,0.173913043478,0.0,0.316789862724,24,2,9,12,21,1,0.290257468253
27,28,Justin Wagner,alabama-am,25.0,8.96,2.76,0.36,0.2,0.4,0.6,0.12,0.04,0.4,0.04,0.314285714286,0.424242424242,0.216216216216,0.566666666667,0.414663461538,69,9,5,10,15,1,0.388526200835
28,29,Ron Foox,miles,1.0,36.0,14.0,3.0,4.0,6.0,10.0,0.0,2.0,5.0,4.0,0.384615384615,0.333333333333,0.5,1.0,0.504322766571,14,3,4,6,10,4,0.344827586207
29,30,Ty Lollar,miles,1.0,34.0,10.0,2.0,0.0,2.0,2.0,1.0,0.0,7.0,1.0,0.833333333333,0.833333333333,,0.0,0.776397515528,10,2,0,2,2,1,0.344827586207
30,31,Stephon Allen,miles,1.0,27.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0,3,0,2,2,0,0.344827586207
31,32,Carlos Clayborn,miles,1.0,22.0,6.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,0.285714285714,0.285714285714,,0.5,0.342465753425,6,1,2,1,3,0,0.344827586207
32,33,Michael Cofield,miles,1.0,18.0,4.0,0.0,3.0,1.0,4.0,0.0,0.0,3.0,0.0,0.4,0.4,,,0.4,4,0,3,1,4,0,0.344827586207
33,34,Willie Gray,miles,1.0,16.0,4.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.25,0.333333333333,0.0,1.0,0.409836065574,4,0,0,3,3,0,0.344827586207
34,35,Marcus Coleman,miles,1.0,13.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.2,0.333333333333,0.0,1.0,0.340136054422,4,0,0,2,2,0,0.344827586207
35,36,Andrew Gilmore,miles,1.0,9.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,1.13636363636,2,1,0,1,1,0,0.344827586207
36,37,Jordan Stiles,miles,1.0,8.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.2,0.2,,,0.2,2,0,0,3,3,0,0.344827586207
37,38,DeJanel Carter,miles,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,,0.5,2,0,0,0,0,0,0.344827586207
38,39,Jamari Robinson,miles,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,0,0,0,0.344827586207
39,40,Lanarrian Key,miles,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,1,1,0,0.344827586207
40,41,Kegan Tarver,miles,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0,0,0,0,0,0,0.344827586207
41,42,Team Team,miles,1.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,,,,,,0,0,1,5,6,0,0.344827586207
42,43,Jacob Iati,albany-ny,33.0,33.696969697,12.2121212121,1.57575757576,0.30303030303,1.66666666667,1.9696969697,0.727272727273,0.0,1.21212121212,1.39393939394,0.412751677852,0.433734939759,0.404651162791,0.843373493976,0.602355614014,403,52,10,55,65,46,0.445255959262
43,44,Mike Black,albany-ny,33.0,32.2121212121,14.9696969697,2.48484848485,0.787878787879,2.51515151515,3.30303030303,1.0303030303,0.0606060606061,2.9696969697,1.87878787879,0.403183023873,0.420168067227,0.374100719424,0.758241758242,0.540386803185,494,82,26,83,109,62,0.445255959262
44,45,Jayson Guerrier,albany-ny,31.0,13.6774193548,3.83870967742,0.483870967742,0.548387096774,1.06451612903,1.61290322581,0.161290322581,0.0645161290323,0.709677419355,0.193548387097,0.353982300885,0.4,0.328767123288,0.789473684211,0.490276862228,119,15,17,33,50,6,0.437180207761
45,46,John Puk,albany-ny,33.0,20.9393939394,5.39393939394,0.515151515152,1.15151515152,3.21212121212,4.36363636364,0.181818181818,0.454545454545,1.36363636364,0.393939393939,0.531746031746,0.531746031746,,0.758620689655,0.587381203801,178,17,38,106,144,13,0.445255959262
46,47,Blake Metcalf,albany-ny,33.0,19.4242424242,3.69696969697,0.939393939394,1.21212121212,2.87878787879,4.09090909091,0.424242424242,0.636363636364,1.21212121212,0.424242424242,0.588888888889,0.595505617978,0.0,0.32,0.544642857143,122,31,40,95,135,14,0.445255959262
47,48,Sam Rowley,albany-ny,33.0,25.5757575758,9.24242424242,1.06060606061,1.90909090909,4.54545454545,6.45454545455,1.21212121212,0.424242424242,2.06060606061,1.57575757576,0.539170506912,0.541666666667,0.0,0.724489795918,0.586267876365,305,35,63,150,213,52,0.445255959262
