,Player,Year,PPG,RPG,SPG,BPG,ASTO,TS,SOS,VORP
0,Harrison Barnes,2012,17.6363636364,5.21212121212,1.09090909091,0.363636363636,0.524590163936,0.549180946629,0.603013515005,0.3
1,Will Barton,2012,18.0882352941,8.08823529412,1.44117647059,0.735294117647,1.39726027397,0.596068853222,0.590860144344,-0.8
2,Kent Bazemore,2012,15.4242424242,5.93939393939,2.06060606061,0.333333333333,0.999999999998,0.508511828645,0.533147838136,-0.1
3,Bradley Beal,2012,14.6363636364,6.54545454545,1.36363636364,0.878787878788,1.02898550725,0.567700987306,0.556260156076,0.8
4,Jae Crowder,2012,17.4193548387,7.93548387097,2.48387096774,1.03225806452,1.68421052632,0.617171070678,0.554341172981,0.1
5,Anthony Davis,2012,14.2647058824,10.0294117647,1.38235294118,4.61764705882,1,0.676618303571,0.560999467576,2
6,Andre Drummond,2012,10.2424242424,7.69696969697,0.818181818182,2.66666666667,0.288461538461,0.517262487757,0.624495028785,1.4
7,Kim English,2012,14.9090909091,4.09090909091,1.36363636364,0.30303030303,0.945454545453,0.677387377464,0.494620818202,-0.2
8,Festus Ezeli,2012,10,5.5,0.333333333333,1.95833333333,0.132075471698,0.56904400607,0.61665611139,0.2
9,Draymond Green,2012,16.1176470588,10.3823529412,1.47058823529,0.970588235294,1.19417475728,0.547343188174,0.602321442026,-0.3
10,Maurice Harkless,2012,15.9032258065,8.8064516129,1.61290322581,1.45161290323,0.582278481014,0.506909599408,0.525890316632,0.1
11,John Henson,2012,13.6451612903,10.1612903226,0.548387096774,2.93548387097,1.025,0.512652705061,0.597929342952,-0.1
12,John Jenkins,2012,19.8787878788,2.81818181818,0.818181818182,0.333333333333,0.698113207547,0.666720871616,0.554902321292,-0.1
13,Orlando Johnson,2012,19.7333333333,5.76666666667,1.13333333333,0.766666666667,1.21917808219,0.565749235474,0.421475350152,-0.1
14,DeQuan Jones,2012,5.9,3.75,0.5,0.55,0.470588235294,0.500339213026,0.554228309232,-0.8
15,Michael Kidd-Gilchrist,2012,11.8235294118,7.58823529412,1.14705882353,1.02941176471,0.931506849315,0.575140208309,0.560999467576,-0.1
16,Doron Lamb,2012,13.2352941176,2.85294117647,0.470588235294,0.0588235294118,1.65625,0.619971343547,0.560999467576,-0.8
17,Meyers Leonard,2012,13.5625,8.1875,0.46875,1.875,0.632352941176,0.625576568266,0.567481720859,-0.2
18,Damian Lillard,2012,24.5333333333,5.1,1.5,0.233333333333,1.80597014926,0.64884688624,0.422929055171,1.9
19,Kendall Marshall,2012,7.90909090909,2.60606060606,1.24242424242,0.151515151515,3.4623655914,0.553435114504,0.603013515005,-0.9
20,Darius Miller,2012,9.61764705882,2.58823529412,0.852941176471,0.294117647059,1.37735849057,0.57684165961,0.560999467576,0
21,Arnett Moultrie,2012,15.8214285714,10.5714285714,0.821428571429,0.785714285714,0.426470588236,0.614117777531,0.564185305784,0
22,Andrew Nicholson,2012,17.9666666667,8.26666666667,0.7,2.03333333333,0.38961038961,0.646159010262,0.509234885556,-0.8
23,Kyle O'Quinn,2012,15.9411764706,10.4411764706,0.705882352941,2.76470588235,0.533333333333,0.635076865392,0.400722596274,0.2
24,Austin Rivers,2012,15.3939393939,3.36363636364,1,0.030303030303,0.909090909092,0.546753917686,0.586055590269,-1.3
25,Thomas Robinson,2012,17.9393939394,11.7575757576,1.09090909091,1,0.692307692307,0.578622253499,0.544667032147,0.1
26,Terrence Ross,2012,15,6.66666666667,1.23333333333,0.966666666667,0.709677419354,0.537300601777,0.226816030855,-0.2
27,Jared Sullinger,2012,17.4193548387,8.96774193548,1.22580645161,0.903225806452,0.583333333333,0.612912013075,0.595987465932,0.3
28,Jeffery Taylor,2012,16.3823529412,5.82352941176,1.29411764706,0.441176470588,0.810810810809,0.594678852067,0.559721370666,-0.5
29,Marquis Teague,2012,9.44117647059,2.5,0.970588235294,0.323529411765,1.72340425532,0.483550253073,0.560999467576,-0.1
30,Dion Waiters,2012,3.20833333333,2.66666666667,1.20833333333,0.0416666666667,1.53333333333,0.460086042065,0.457603162464,0.2
31,Tyler Zeller,2012,16.0909090909,9.33333333333,0.939393939394,1.27272727273,0.540983606559,0.625235493595,0.603013515005,-0.1
32,Steven Adams,2013,7.06666666667,6.16666666667,0.666666666667,2.06666666667,0.580645161292,0.562991289569,0.543409954663,0.1
