,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Todd Fletcher,36,4,12,4,9,0,3,2,2,0,3,3,1,0,0,0,2,10
1,2013-03-23,Taylor Broekhuis,27,8,10,8,8,0,2,0,0,1,4,5,3,0,1,0,3,16
2,2013-03-23,Mike Fitzgerald,24,0,3,0,1,0,2,2,2,0,2,2,1,2,0,0,2,2
3,2013-03-23,Kyle Green,22,1,6,0,3,1,3,2,2,5,0,5,3,1,0,5,1,5
4,2013-03-23,DeLovell Earls,9,0,4,0,3,0,1,0,0,2,1,3,0,1,0,0,0,0
5,2013-03-23,Cam Michael,20,1,3,0,0,1,3,0,0,0,3,3,0,0,0,0,1,3
6,2013-03-23,Justin Hammonds,18,4,7,4,7,0,0,4,5,1,4,5,0,0,0,0,0,12
7,2013-03-23,Marek Olesinski,12,2,3,0,1,2,2,0,0,1,1,2,1,0,0,1,4,6
8,2013-03-23,Kamryn Williams,11,1,5,1,4,0,1,0,0,0,1,1,1,0,0,2,0,2
9,2013-03-23,Max Yon,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
10,2013-03-23,Chase Kammerer,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11,2013-03-23,Tre` Coggins,4,0,1,0,0,0,1,0,0,0,2,2,0,0,0,2,1,0
12,2013-03-23,Ethan Michael,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1
