,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Solomon Hill,36,4,7,2,4,2,3,3,5,1,9,10,1,0,1,1,1,13
1,2013-03-23,Nick Johnson,34,2,3,0,1,2,2,1,2,0,6,6,4,3,0,3,2,7
2,2013-03-23,Mark Lyons,33,12,17,9,11,3,6,0,0,0,1,1,3,1,0,2,2,27
3,2013-03-23,Kaleb Tarczewski,31,2,5,2,5,0,0,3,4,0,8,8,1,0,0,1,2,7
4,2013-03-23,Kevin Parrom,14,1,1,0,0,1,1,1,2,0,2,2,1,0,0,1,5,4
5,2013-03-23,Jordin Mayes,19,3,7,2,4,1,3,1,1,0,1,1,3,0,0,1,1,8
6,2013-03-23,Brandon Ashley,16,2,5,2,5,0,0,2,2,1,7,8,0,0,0,2,5,6
7,2013-03-23,Angelo Chol,8,1,2,1,2,0,0,0,0,1,1,2,0,0,1,1,2,2
8,2013-03-23,Gabe York,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013-03-23,Quinton Crawford,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013-03-23,Max Wiepking,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013-03-23,Grant Jerrett,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
