,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Roosevelt Jones,38,3,11,3,11,0,0,2,4,2,1,3,3,1,0,5,3,8
1,2013-03-23,Rotnei Clarke,36,8,17,3,5,5,12,3,3,0,2,2,3,1,0,4,3,24
2,2013-03-23,Andrew Smith,35,5,8,4,6,1,2,6,8,1,7,8,1,2,1,1,3,17
3,2013-03-23,Alex Barlow,16,1,2,0,0,1,2,1,2,2,0,2,1,0,3,2,3,4
4,2013-03-23,Khyle Marshall,14,2,3,2,3,0,0,0,0,1,1,2,0,0,0,0,3,4
5,2013-03-23,Kellen Dunham,25,1,4,0,2,1,2,1,2,1,2,3,1,1,0,1,1,4
6,2013-03-23,Kameron Woods,20,1,4,1,4,0,0,0,0,1,5,6,2,1,2,1,3,2
7,2013-03-23,Erik Fromm,11,2,5,0,1,2,4,0,0,0,1,1,0,1,2,0,1,6
8,2013-03-23,Chase Stigall,5,1,2,0,0,1,2,0,0,1,0,1,1,0,0,1,0,3
9,2013-03-23,Emerson Kampen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
