,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Maurice Kemp,39,7,17,7,15,0,2,6,10,7,8,15,1,3,3,2,1,20
1,2013-03-23,Paris Roberts-Campbell,33,2,6,1,2,1,4,0,0,0,4,4,0,1,0,0,1,5
2,2013-03-23,Robert Sampson,27,4,6,4,5,0,1,1,1,3,6,9,1,3,2,1,4,9
3,2013-03-23,Miguel Paul,26,1,10,0,6,1,4,2,4,1,0,1,8,1,0,2,4,5
4,2013-03-23,Ty Armstrong,24,8,9,8,9,0,0,4,5,1,3,4,0,2,1,2,4,20
5,2013-03-23,Akeem Richmond,28,2,10,0,2,2,8,2,2,1,1,2,3,2,0,3,2,8
6,2013-03-23,Prince Williams,13,2,3,2,3,0,0,4,6,2,5,7,3,1,0,2,1,8
7,2013-03-23,Michael Zangari,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2013-03-23,Yasin Kolo,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
9,2013-03-23,Peyton Robbins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013-03-23,Francis Edosomwan,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11,2013-03-23,Shamarr Bowden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
