,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Troy Taylor,32,7,7,7,7,0,0,2,5,2,5,7,7,1,0,2,1,16
1,2013-03-23,Colt Ryan,27,5,10,3,7,2,3,13,14,1,2,3,5,0,0,3,4,25
2,2013-03-23,Ned Cox,26,5,13,4,7,1,6,2,2,0,1,1,0,0,0,1,5,13
3,2013-03-23,Adam Wing,13,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,2,0
4,2013-03-23,Egidijus Mockevicius,9,0,0,0,0,0,0,4,4,0,3,3,0,0,0,1,3,4
5,2013-03-23,D.J. Balentine,30,5,9,2,6,3,3,0,1,0,3,3,3,0,0,0,1,13
6,2013-03-23,Lewis Jones,27,3,6,3,6,0,0,1,4,3,6,9,1,0,0,1,0,7
7,2013-03-23,Ryan Sawvell,25,2,4,2,4,0,0,2,4,4,6,10,0,1,0,1,2,6
8,2013-03-23,Jaylon Moore,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013-03-23,Jordan Nelson,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
