,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Wesley Saunders,37,1,11,1,11,0,0,6,9,2,3,5,5,0,0,3,1,8
1,2013-03-23,Siyani Chambers,36,2,8,0,3,2,5,0,0,0,3,3,3,0,0,2,2,6
2,2013-03-23,Laurent Rivard,35,1,6,0,0,1,6,0,0,0,0,0,1,2,0,0,4,3
3,2013-03-23,Christian Webster,27,3,10,1,3,2,7,0,0,1,4,5,1,0,0,2,3,8
4,2013-03-23,Kenyatta Smith,23,4,9,4,9,0,0,2,2,2,3,5,0,3,1,0,2,10
5,2013-03-23,Steve Moundou-Missi,20,3,9,3,9,0,0,3,4,2,3,5,1,2,0,0,1,9
6,2013-03-23,Jonah Travis,14,1,3,1,3,0,0,3,4,3,3,6,0,0,0,1,1,5
7,2013-03-23,Alex Nesbitt,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,2013-03-23,Agunwa Okolie,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9,2013-03-23,Michael Hall,1,1,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,2
10,2013-03-23,Evan Cummins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
