,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Gary Talton,39,2,12,0,5,2,7,0,0,1,4,5,4,1,0,6,3,6
1,2013-03-23,Daniel Barnes,37,4,8,3,5,1,3,1,1,0,6,6,2,2,0,3,3,10
2,2013-03-23,Hayden Humes,36,4,7,4,6,0,1,0,0,1,6,7,1,1,1,2,3,8
3,2013-03-23,Josh Crittle,29,4,6,4,6,0,0,4,7,2,7,9,0,1,0,4,4,12
4,2013-03-23,Marc Brown,25,2,5,2,3,0,2,2,2,1,1,2,2,0,0,2,1,6
5,2013-03-23,Anthony Kelley,15,2,3,0,1,2,2,0,0,0,2,2,1,0,0,0,0,6
6,2013-03-23,Will Simonton,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
7,2013-03-23,Jake Wiegand,7,1,3,0,2,1,1,0,0,0,0,0,0,0,0,2,2,3
8,2013-03-23,Joey Miller,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,2013-03-23,Jay Parker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013-03-23,Gabe Snider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
