,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Russ Smith,32,7,15,3,8,4,7,9,10,0,3,3,2,2,0,1,3,27
1,2013-03-23,Peyton Siva,32,5,14,5,13,0,1,0,0,0,3,3,5,2,0,2,1,10
2,2013-03-23,Gorgui Dieng,25,6,6,6,6,0,0,0,0,2,1,3,0,2,1,2,3,12
3,2013-03-23,Wayne Blackshear,20,2,2,1,1,1,1,1,2,1,3,4,0,0,0,0,4,6
4,2013-03-23,Chane Behanan,20,2,4,2,4,0,0,1,1,1,2,3,1,0,0,1,2,5
5,2013-03-23,Montrezl Harrell,20,5,7,5,7,0,0,1,2,3,1,4,1,0,0,0,2,11
6,2013-03-23,Luke Hancock,19,2,2,2,2,0,0,1,1,0,0,0,0,1,1,2,4,5
7,2013-03-23,Kevin Ware,17,1,4,1,4,0,0,2,2,0,2,2,5,2,0,0,1,4
8,2013-03-23,Stephan Van Treese,15,1,1,1,1,0,0,0,0,2,1,3,0,2,0,1,4,2
9,2013-03-23,Tim Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
