,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Trent Lockett,36,4,7,3,6,1,1,4,4,2,4,6,2,1,2,1,3,13
1,2013-03-23,Vander Blue,34,9,15,6,11,3,4,8,8,0,2,2,0,4,0,4,2,29
2,2013-03-23,Junior Cadougan,24,4,8,4,6,0,2,1,2,0,1,1,2,0,0,3,1,9
3,2013-03-23,Chris Otule,20,1,4,1,4,0,0,0,1,0,2,2,0,0,1,0,0,2
4,2013-03-23,Juan Anderson,8,0,2,0,2,0,0,0,0,0,2,2,2,1,0,0,2,0
5,2013-03-23,Jamil Wilson,30,4,10,3,6,1,4,4,4,2,3,5,2,2,1,4,3,13
6,2013-03-23,Davante Gardner,19,1,4,1,4,0,0,6,8,4,0,4,1,0,0,3,2,8
7,2013-03-23,Derrick Wilson,16,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,3,0
8,2013-03-23,Todd Mayo,6,0,2,0,1,0,1,0,0,2,0,2,0,0,0,0,1,0
9,2013-03-23,Steve Taylor Jr.,4,0,1,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0
10,2013-03-23,Jake Thomas,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
