,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Adreian Payne,34,7,14,7,11,0,3,0,0,3,7,10,0,2,5,3,2,14
1,2013-03-23,Derrick Nix,33,5,9,5,9,0,0,3,8,3,5,8,1,4,0,2,1,13
2,2013-03-23,Branden Dawson,31,0,3,0,3,0,0,1,2,2,4,6,4,2,1,4,2,1
3,2013-03-23,Keith Appling,28,1,4,1,2,0,2,0,0,0,1,1,2,0,0,2,1,2
4,2013-03-23,Gary Harris,25,6,9,2,2,4,7,7,8,1,2,3,0,0,0,2,4,23
5,2013-03-23,Denzel Valentine,25,4,9,4,6,0,3,1,2,1,5,6,6,0,0,1,0,9
6,2013-03-23,Travis Trice,13,1,2,1,1,0,1,2,2,0,3,3,1,1,0,3,4,4
7,2013-03-23,Matt Costello,5,1,1,1,1,0,0,0,0,0,2,2,0,1,1,0,0,2
8,2013-03-23,Alex Gauna,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
9,2013-03-23,Russell Byrd,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
10,2013-03-23,Dan Chapman,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
11,2013-03-23,Trevor Bohnhoff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013-03-23,Keenan Wetzel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
