,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Trey Burke,37,6,14,4,8,2,6,4,4,0,2,2,7,2,0,7,2,18
1,2013-03-23,Tim Hardaway Jr,36,5,11,2,6,3,5,1,2,1,1,2,3,1,0,1,2,14
2,2013-03-23,Mitch McGary,34,10,11,10,11,0,0,1,1,4,10,14,1,1,0,2,1,21
3,2013-03-23,Glenn Robinson III,33,7,10,7,8,0,2,0,0,2,7,9,2,2,0,0,1,14
4,2013-03-23,Nik Stauskas,31,2,7,2,3,0,4,4,4,1,2,3,1,1,0,0,0,8
5,2013-03-23,Spike Albrecht,14,1,2,0,1,1,1,0,0,0,1,1,2,0,0,1,0,3
6,2013-03-23,Jon Horford,5,0,1,0,1,0,0,0,0,1,1,2,1,0,0,1,1,0
7,2013-03-23,Caris LeVert,4,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
8,2013-03-23,Corey Person,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013-03-23,Blake McLimans,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
10,2013-03-23,Eso Akunne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013-03-23,Josh Bartelstein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013-03-23,Matt Vogrich,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
