,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Marc Sonnen,34,2,7,1,3,1,4,0,0,0,0,0,0,0,0,1,4,5
1,2013-03-23,Anthony James,32,5,10,3,8,2,2,5,6,0,1,1,2,1,0,3,1,17
2,2013-03-23,Deon Mitchell,30,3,8,2,7,1,1,1,2,1,1,2,2,1,0,1,1,8
3,2013-03-23,Jake Koch,29,3,10,2,8,1,2,4,6,1,7,8,6,2,0,1,3,11
4,2013-03-23,Seth Tuttle,20,4,10,3,9,1,1,6,7,1,4,5,0,2,1,1,1,15
5,2013-03-23,Chip Rank,19,2,3,1,1,1,2,0,0,1,2,3,0,0,1,0,0,5
6,2013-03-23,Matt Bohannon,18,0,1,0,0,0,1,0,0,0,1,1,0,2,0,2,1,0
7,2013-03-23,Austin Pehl,8,1,3,1,3,0,0,0,0,0,1,1,0,0,0,0,0,2
8,2013-03-23,Marvin Singleton,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,2013-03-23,Nate Buss,4,0,2,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0
10,2013-03-23,Max Martino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
