,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Arsalan Kazemi,35,4,6,4,6,0,0,0,0,7,9,16,3,2,2,3,3,8
1,2013-03-23,Damyean Dotson,31,8,12,3,6,5,6,2,3,0,3,3,0,2,0,0,0,23
2,2013-03-23,E.J. Singler,28,4,6,3,5,1,1,5,8,0,3,3,4,0,0,8,1,14
3,2013-03-23,Dominic Artis,19,0,7,0,6,0,1,0,0,0,0,0,1,2,0,1,1,0
4,2013-03-23,Tony Woods,15,2,3,2,3,0,0,0,0,0,1,1,0,0,0,1,4,4
5,2013-03-23,Carlos Emory,26,6,10,5,9,1,1,1,3,1,3,4,3,0,0,1,2,14
6,2013-03-23,Johnathan Loyd,24,3,7,2,5,1,2,2,2,0,5,5,6,3,0,4,4,9
7,2013-03-23,Waverly Austin,12,1,1,1,1,0,0,0,0,1,3,4,0,0,1,0,2,2
8,2013-03-23,Ben Carter,7,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,2,0
9,2013-03-23,Coleton Baker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013-03-23,Nicholas Lucenti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013-03-23,Fred Richardson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013-03-23,Willie Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
