,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Dwayne Evans,34,8,13,8,12,0,1,0,1,1,8,9,0,1,0,3,1,16
1,2013-03-23,Kwamain Mitchell,30,5,11,3,4,2,7,6,8,0,0,0,3,5,0,2,5,18
2,2013-03-23,Mike McCall Jr,26,0,6,0,4,0,2,0,0,1,2,3,3,1,0,0,1,0
3,2013-03-23,Rob Loe,20,0,5,0,3,0,2,5,8,0,1,1,3,1,0,1,1,5
4,2013-03-23,Grandy Glaze,12,1,2,1,2,0,0,0,0,0,1,1,0,0,0,1,0,2
5,2013-03-23,Jordair Jett,25,4,8,3,5,1,3,2,3,1,3,4,0,0,0,1,2,11
6,2013-03-23,Cody Ellis,25,1,5,1,1,0,4,0,0,0,1,1,2,0,1,3,3,2
7,2013-03-23,Jake Barnett,14,1,3,1,1,0,2,0,0,0,0,0,0,2,0,1,0,2
8,2013-03-23,Cory Remekun,11,0,0,0,0,0,0,1,2,0,4,4,0,0,1,0,2,1
9,2013-03-23,Joey Lepak,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013-03-23,John Manning,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
