,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Chasson Randle,35,4,10,1,4,3,6,0,0,0,2,2,2,0,0,2,2,11
1,2013-03-23,Josh Huestis,35,3,8,3,5,0,3,3,3,2,6,8,2,0,3,2,0,9
2,2013-03-23,Aaron Bright,35,2,9,0,3,2,6,0,0,1,4,5,3,0,0,2,3,6
3,2013-03-23,Dwight Powell,24,1,6,1,6,0,0,0,0,3,5,8,3,2,0,3,4,2
4,2013-03-23,Andy Brown,14,2,4,1,2,1,2,0,0,1,0,1,0,0,1,1,2,5
5,2013-03-23,John Gage,22,2,8,0,1,2,7,0,0,0,2,2,1,1,1,0,4,6
6,2013-03-23,Robbie Lemons,16,4,8,2,4,2,4,0,0,2,2,4,0,0,0,1,1,10
7,2013-03-23,Gabriel Harris,9,0,1,0,1,0,0,1,2,0,1,1,0,1,0,1,4,1
8,2013-03-23,Rosco Allen,4,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0
9,2013-03-23,Stefan Nastic,3,0,1,0,1,0,0,2,2,0,1,1,0,0,0,0,0,2
10,2013-03-23,Christian Sanders,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2
