,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Treveon Graham,35,4,7,3,5,1,2,2,2,1,1,2,0,2,0,2,0,11
1,2013-03-23,Troy Daniels,30,3,13,2,4,1,9,0,0,1,3,4,1,2,1,0,1,7
2,2013-03-23,Rob Brandenberg,26,3,11,2,7,1,4,0,0,1,1,2,1,1,0,2,2,7
3,2013-03-23,Juvonte Reddic,24,7,11,7,11,0,0,2,4,1,2,3,1,1,1,3,3,16
4,2013-03-23,Darius Theus,17,1,3,1,2,0,1,0,0,0,1,1,3,0,0,3,3,2
5,2013-03-23,Briante Weber,25,4,9,4,9,0,0,0,0,1,0,1,0,2,0,0,1,8
6,2013-03-23,Melvin Johnson,21,1,4,1,4,0,0,0,0,1,1,2,0,1,0,1,2,2
7,2013-03-23,Jarred Guest,10,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0
8,2013-03-23,David Hinton,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
9,2013-03-23,Justin Tuoyo,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
10,2013-03-23,Teddy Okereafor,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
