,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Scott Bamforth,34,6,14,1,1,5,13,4,5,0,3,3,1,0,0,1,3,21
1,2013-03-23,Davion Berry,33,2,6,1,4,1,2,2,3,0,5,5,6,0,0,1,1,7
2,2013-03-23,Frank Otis,23,2,2,2,2,0,0,0,0,0,5,5,3,0,2,3,2,4
3,2013-03-23,Kyle Tresnak,22,9,10,9,10,0,0,3,3,2,3,5,1,0,1,0,3,21
4,2013-03-23,Jordan Richardson,14,0,3,0,0,0,3,0,0,0,1,1,2,1,0,0,2,0
5,2013-03-23,Gelaun Wheelwright,25,4,10,2,6,2,4,0,0,0,4,4,2,1,0,1,0,10
6,2013-03-23,Joel Bolomboy,23,1,2,1,2,0,0,3,6,1,1,2,0,0,0,1,2,5
7,2013-03-23,Royce Williams,13,2,2,0,0,2,2,2,2,0,0,0,1,1,0,0,1,8
8,2013-03-23,James Hajek,10,1,1,1,1,0,0,0,0,0,2,2,0,0,0,0,1,2
9,2013-03-23,Byron Fulton,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
10,2013-03-23,Wayne Bradford,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
