,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Malcolm Armstead,37,2,9,1,3,1,6,1,2,0,5,5,3,2,0,3,1,6
1,2013-03-23,Ron Baker,33,5,7,1,1,4,6,2,2,3,3,6,4,1,0,1,2,16
2,2013-03-23,Carl Hall,29,3,6,3,6,0,0,4,8,1,0,1,2,1,3,3,3,10
3,2013-03-23,Tekele Cotton,25,3,5,1,2,2,3,0,0,1,2,3,2,2,0,0,2,8
4,2013-03-23,Ehimen Orukpe,15,1,2,1,2,0,0,0,1,1,0,1,0,0,1,2,2,2
5,2013-03-23,Cleanthony Early,24,6,11,2,4,4,7,0,0,2,5,7,1,1,2,2,4,16
6,2013-03-23,Fred Van Vleet,20,3,6,1,2,2,4,5,5,0,1,1,3,1,0,1,1,13
7,2013-03-23,Jake White,9,2,3,1,2,1,1,0,0,1,2,3,0,0,0,2,4,5
8,2013-03-23,Demetric Williams,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0
9,2013-03-23,Chadrack Lufile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
