,Games,Player,VORP,Year
0,67,Bam Adebayo,0.7,2018
1,70,Jarrett Allen,0.7,2018
2,16,Kadeem Allen,-0.1,2018
3,10,Ike Anigbogu,0.0,2018
4,72,OG Anunoby,0.9,2018
5,22,Ryan Arcidiacono,-0.1,2018
6,13,Jamel Artis,-0.2,2018
7,53,Dwayne Bacon,-0.7,2018
8,52,Lonzo Ball,1.6,2018
9,56,Jordan Bell,1.2,2018
10,40,Khem Birch,0.3,2018
11,11,Jabari Bird,0.0,2018
12,19,Antonio Blakeney,-0.4,2018
13,76,Bogdan Bogdanovic,0.5,2018
14,1,Chris Boucher,0.0,2018
15,9,Tony Bradley,-0.1,2018
16,80,Dillon Brooks,-0.8,2018
17,52,Sterling Brown,-0.3,2018
18,13,Thomas Bryant,0.0,2018
19,35,Alex Caruso,-0.2,2018
20,39,Tyler Cavanaugh,0.1,2018
21,7,Gian Clavell,0.0,2018
22,16,Antonius Cleveland,-0.1,2018
23,73,John Collins,1.6,2018
24,64,Zach Collins,-0.3,2018
25,31,Kyle Collinsworth,0.0,2018
26,12,Charles Cooke,-0.1,2018
27,4,Matt Costello,0.0,2018
28,37,Torrey Craig,-0.1,2018
29,55,Tyler Dorsey,-0.6,2018
30,42,Damyean Dotson,-0.1,2018
31,8,Milton Doyle,-0.1,2018
32,2,PJ Dozier,0.0,2018
33,48,Jawun Evans,-0.5,2018
34,59,Terrance Ferguson,-0.1,2018
35,71,De'Aaron Fox,-1.2,2018
36,12,Markelle Fultz,-0.2,2018
37,5,Josh Gray,-0.1,2018
38,5,Daniel Hamilton,0.0,2018
39,22,Shaquille Harrison,0.2,2018
40,61,Josh Hart,0.6,2018
41,7,Nigel Hayes,-0.1,2018
42,2,Reggie Hearn,0.0,2018
43,18,Myke Henry,0.0,2018
44,16,Isaiah Hicks,-0.2,2018
45,22,John Holland,-0.2,2018
46,4,Vince Hunter,0.0,2018
47,27,Jonathan Isaac,0.0,2018
48,60,Wesley Iwundu,-0.4,2018
49,77,Josh Jackson,-1.1,2018
50,66,Justin Jackson,-0.5,2018
51,36,Mike James,-0.1,2018
52,29,Dakari Johnson,0.1,2018
53,2,Omari Johnson,-0.1,2018
54,15,Jalen Jones,-0.2,2018
55,71,Luke Kennard,0.1,2018
56,71,Maxi Kleber,0.6,2018
57,13,Furkan Korkmaz,-0.1,2018
58,18,Luke Kornet,0.1,2018
59,77,Kyle Kuzma,0.4,2018
60,52,T.J. Leaf,-0.3,2018
61,14,Damion Lee,0.1,2018
62,5,"Walt Lemon, Jr.",-0.1,2018
63,1,Tyler Lydon,0.0,2018
64,18,Josh Magette,-0.2,2018
65,66,Lauri Markkanen,0.1,2018
66,52,Frank Mason,-0.4,2018
67,4,Mangok Mathiang,0.0,2018
68,4,Erik McCree,0.0,2018
69,1,Trey McKinney-Jones,0.0,2018
70,13,Alfonzo McKinnie,0.0,2018
71,15,Malcolm Miller,0.0,2018
72,77,Donovan Mitchell,1.9,2018
73,1,Naz Mitrou-Long,0.0,2018
74,62,Malik Monk,-0.5,2018
75,2,Ben Moore,0.0,2018
76,6,Jaylen Morris,-0.1,2018
77,3,Monte Morris,0.0,2018
78,10,Johnathan Motley,-0.1,2018
79,46,Abdel Nader,-0.4,2018
80,76,Frank Ntilikina,-0.9,2018
81,67,Royce O'Neale,0.3,2018
82,71,Semi Ojeleye,-0.4,2018
83,59,Cedi Osman,-0.1,2018
84,4,Marcus Paige,0.0,2018
85,1,Justin Patton,0.0,2018
86,62,Brandon Paul,-0.1,2018
87,13,London Perrantes,-0.1,2018
88,19,Alec Peters,-0.2,2018
89,3,Jacob Pullen,0.0,2018
90,14,Rodney Purvis,-0.3,2018
91,16,Zhou Qi,-0.2,2018
92,34,Ivan Rabb,0.0,2018
93,5,Xavier Rathan-Mayes,-0.3,2018
94,20,Davon Reed,-0.3,2018
95,79,Ben Simmons,4.5,2018
96,30,Kobi Simmons,-0.5,2018
97,69,Dennis Smith,-0.1,2018
98,25,Caleb Swanigan,-0.1,2018
99,79,Jayson Tatum,1.8,2018
100,45,Milos Teodosic,0.2,2018
101,63,Daniel Theis,1.1,2018
102,71,Sindarius Thornwell,0.1,2018
103,28,Tyrone Wallace,0.1,2018
104,16,Derrick Walton,0.1,2018
105,3,Jameel Warney,-0.1,2018
106,9,James Webb,-0.1,2018
107,15,Andrew White,-0.3,2018
108,17,Derrick White,0.1,2018
109,5,Jacob Wiley,0.0,2018
110,36,C.J. Williams,0.1,2018
111,3,Matt Williams,0.0,2018
112,21,D.J. Wilson,-0.1,2018
113,15,Jamil Wilson,0.1,2018
114,32,Guerschon Yabusele,0.0,2018
115,30,Ante Zizic,0.1,2018
